prolificID,img_id,category,trialNum,ratings,enumerated_ratings
5d87df4202971700016068c8,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,9,Very,1
5865dd647fbbcd00013973b8,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,53,Very,1
5e793ab51aff8103623757be,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,102,Very,1
5ec7bb4467b0da23311bd127,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,126,Moderately,0
5e8bce371e16e90ba6df085d,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,49,Very,1
5a7ce044ae9a0b0001a9a058,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,44,Very,1
55848744fdf99b574f55ada0,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,82,Extremely,2
5e7975aa24a196537da503c1,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,12,Extremely,2
5f2e099917eb9615c9de9102,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,0,Moderately,0
5ba85a9d032d360001b83177,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,fish,54,Very,1
5de6fa0b45971068368dd887,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,92,Somewhat,-1
5e7cd3b170dd7532f7177264,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,135,Somewhat,-1
5dcc0cb819ca038a0dd058ab,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,81,Somewhat,-1
5ec4db33f264da3c38dfce22,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,13,Very,1
5c9e61148766170001efc8a3,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,18,Moderately,0
5bbbf217a83521000173d9df,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,31,Very,1
5f6b83589ffe6809f2cacb07,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,ray,65,Moderately,0
