_id,prolificID,studyID,sessionID,gameID,type,iterationName,batch_num,category,catch_trial,img_id,trialNum,eventType,rt,trial_index,time_elapsed,failed_catches,num_failed,lazy_responder,repeat_offender,ratings,enumerated_ratings,tooDissimilar
5f979708c8fc842033c98c3e,5d87df4202971700016068c8,5f73aa04e06cde127e261a0d,5f9795799e5cb2161ca6c8a5,8201-4168394d-7d3d-4561-99e3-e831f1c1e4a4,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,9,rating-task,15867.359999916516,10,392849,False,0,False,False,Very,1,False
5f9796a2c8fc842033c98b67,5865dd647fbbcd00013973b8,5f73aa04e06cde127e261a0d,5f979566d31364162a6b6e63,5310-b022358f-f58b-4db9-9bee-25cbc1e6e836,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,53,rating-task,3508.0200000001932,54,301006,False,1,False,False,Very,1,False
5f9798e1c8fc842033c98e4d,5e793ab51aff8103623757be,5f73aa04e06cde127e261a0d,5f9795053dc52216397c6536,7745-cbd298c7-5a60-4d4b-96a3-f181f7b1683f,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,102,rating-task,3110.660000002128,103,906094,False,1,True,False,Very,1,False
5f9798fac8fc842033c98e5a,5ec7bb4467b0da23311bd127,5f73aa04e06cde127e261a0d,5f97955fd3134d16540be7b5,7718-cba673bd-f034-45e3-bcd2-2c899d6cc810,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,126,rating-task,16997.199999983422,127,916713,False,1,True,False,Moderately,0,False
5f979613c8fc842033c98a62,5e8bce371e16e90ba6df085d,5f73aa04e06cde127e261a0d,5f97950981778215c5aa665e,3965-3d92d695-56b0-44d2-94f0-4c34d331fefe,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,49,rating-task,2947.0199999632314,50,256373,False,0,False,False,Very,1,False
5f9795ffc8fc842033c98a3d,5a7ce044ae9a0b0001a9a058,5f73aa04e06cde127e261a0d,5f9794ef55867c16f807d10c,7422-dee2f412-5970-498b-a940-b870491698ed,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,44,rating-task,3173.825000063516,45,222033,False,0,False,False,Very,1,False
5f97976cc8fc842033c98ce7,55848744fdf99b574f55ada0,5f73aa04e06cde127e261a0d,5f97955b864a6416528bc74b,8958-ff3eefe2-7275-44ca-ae14-ef544ba77e6f,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,82,rating-task,3760.5300000004936,83,520493,False,1,True,False,Extremely,2,False
5f979537c8fc842033c9895a,5e7975aa24a196537da503c1,5f73aa04e06cde127e261a0d,5f9794c9054d7c163eda0434,5986-c486e599-e047-4397-a0d8-372f2a55e4b5,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,12,rating-task,3476.380000007339,13,95688,False,0,False,False,Extremely,2,False
5f979584c8fc842033c9898c,5f2e099917eb9615c9de9102,5f73aa04e06cde127e261a0d,5f9795298e277605c08dc4ed,2858-3293f4f2-2aaa-4b26-b20d-21ce163217ee,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,0,rating-task,8338.0,1,76591,False,0,True,False,Moderately,0,False
5f97972bc8fc842033c98c7e,5ba85a9d032d360001b83177,5f73aa04e06cde127e261a0d,5f97956e0bfb3716737da19f,3503-bda5e9f8-6ce2-4372-98c2-4876a2bbd53c,survey-likert,livetest1,5,fish,False,https://photodraw32.s3.amazonaws.com/n01447331_2001_fish_09.png,54,rating-task,4702.685000374913,55,431888,False,2,False,False,Very,1,False
5f8d253cd8c3f934f77b8ed8,5de6fa0b45971068368dd887,5f73a9ebfb8b2f119c0f5054,5f8d238c56536a4ca68aa9ad,9472-fdd661ba-52fe-4ccc-b543-c96f58629607,survey-likert,livetest1,1,ray,False,https://photodraw32.s3.amazonaws.com/n01496331_11015_ray_17.png,92,rating-task,4276.4599999645725,93,428788,False,0,False,False,Somewhat,-1,False
